id	ip	whitelist_id	site_name	site_id	Username	jira_ticket
67778	213.197.155.226/32	12425104	test.appdirect.com	1849389	NULL	NULL
67779	13.54.185.27/32	12425104	test.appdirect.com	1849389	NULL	NULL
67780	10.190.117.191/32	12425104	test.appdirect.com	1849389	NULL	NULL
67781	94.237.49.101/32	12425104	test.appdirect.com	1849389	NULL	NULL
67782	213.197.167.27/32	12425104	test.appdirect.com	1849389	NULL	NULL
67783	208.118.126.80/28	12425104	test.appdirect.com	1849389	NULL	NULL
67784	140.82.112.0/20	12425104	test.appdirect.com	1849389	NULL	NULL
67785	34.199.96.193/32	12425104	test.appdirect.com	1849389	NULL	NULL
67786	181.174.114.4/32	12425104	test.appdirect.com	1849389	NULL	NULL
67787	165.225.68.56/32	12425104	test.appdirect.com	1849389	NULL	NULL
67788	201.130.57.0/24	12425104	test.appdirect.com	1849389	NULL	NULL
67789	61.194.0.221/32	12425104	test.appdirect.com	1849389	NULL	NULL
67790	192.30.252.0/22	12425104	test.appdirect.com	1849389	NULL	NULL
67791	50.203.219.0/27	12425104	test.appdirect.com	1849389	NULL	NULL
67792	218.188.86.128/27	12425104	test.appdirect.com	1849389	NULL	NULL
67793	213.98.18.215/32	12425104	test.appdirect.com	1849389	NULL	NULL
67794	34.227.121.223/32	12425104	test.appdirect.com	1849389	NULL	NULL
67795	52.9.222.141/32	12425104	test.appdirect.com	1849389	NULL	NULL
67796	73.7.24.164/32	12425104	test.appdirect.com	1849389	NULL	NULL
67797	195.235.144.74/32	12425104	test.appdirect.com	1849389	NULL	NULL
67798	222.124.146.83/32	12425104	test.appdirect.com	1849389	NULL	NULL
67799	205.234.17.0/24	12425104	test.appdirect.com	1849389	NULL	NULL
67800	199.33.115.16/29	12425104	test.appdirect.com	1849389	NULL	NULL
67801	99.32.91.64/32	12425104	test.appdirect.com	1849389	NULL	NULL
67802	206.189.126.148/32	12425104	test.appdirect.com	1849389	NULL	NULL
67803	52.9.45.163/32	12425104	test.appdirect.com	1849389	NULL	NULL
67804	118.97.53.128/25	12425104	test.appdirect.com	1849389	NULL	NULL
67805	192.254.112.0/20	12425104	test.appdirect.com	1849389	NULL	NULL
67806	54.233.255.128/26	12425104	test.appdirect.com	1849389	NULL	NULL
67807	202.214.245.228/31	12425104	test.appdirect.com	1849389	NULL	NULL
67808	34.249.70.175/32	12425104	test.appdirect.com	1849389	NULL	NULL
67809	202.45.12.0/24	12425104	test.appdirect.com	1849389	NULL	NULL
67810	2.30.59.12/32	12425104	test.appdirect.com	1849389	NULL	NULL
67811	54.200.201.186/32	12425104	test.appdirect.com	1849389	NULL	NULL
67812	94.101.146.136/29	12425104	test.appdirect.com	1849389	NULL	NULL
67813	34.206.241.1/32	12425104	test.appdirect.com	1849389	NULL	NULL
67814	76.80.192.18/32	12425104	test.appdirect.com	1849389	NULL	NULL
67815	35.171.179.180/32	12425104	test.appdirect.com	1849389	NULL	NULL
67816	195.57.30.195/32	12425104	test.appdirect.com	1849389	NULL	NULL
67817	144.160.130.0/24	12425104	test.appdirect.com	1849389	NULL	NULL
67818	4.16.111.6/32	12425104	test.appdirect.com	1849389	NULL	NULL
67819	51.145.156.40/32	12425104	test.appdirect.com	1849389	NULL	NULL
67820	200.124.194.236/31	12425104	test.appdirect.com	1849389	NULL	NULL
67821	89.101.110.98/32	12425104	test.appdirect.com	1849389	NULL	NULL
67822	216.250.100.254/32	12425104	test.appdirect.com	1849389	NULL	NULL
67823	64.207.218.0/24	12425104	test.appdirect.com	1849389	NULL	NULL
67824	52.178.95.4/32	12425104	test.appdirect.com	1849389	NULL	NULL
67825	64.207.219.128/26	12425104	test.appdirect.com	1849389	NULL	NULL
67826	35.234.64.92/32	12425104	test.appdirect.com	1849389	NULL	NULL
67827	1.186.48.82/32	12425104	test.appdirect.com	1849389	NULL	NULL
67828	52.210.232.124/32	12425104	test.appdirect.com	1849389	NULL	NULL
67829	52.8.177.72/32	12425104	test.appdirect.com	1849389	NULL	NULL
67830	54.153.75.82/32	12425104	test.appdirect.com	1849389	NULL	NULL
67831	62.103.82.174/32	12425104	test.appdirect.com	1849389	NULL	NULL
67832	104.218.200.0/21	12425104	test.appdirect.com	1849389	NULL	NULL
67833	220.227.185.2/32	12425104	test.appdirect.com	1849389	NULL	NULL
67834	77.230.26.84/32	12425104	test.appdirect.com	1849389	NULL	NULL
67835	18.233.240.4/32	12425104	test.appdirect.com	1849389	NULL	NULL
67836	52.34.190.153/32	12425104	test.appdirect.com	1849389	NULL	NULL
67837	104.18.249.37/32	12425104	test.appdirect.com	1849389	NULL	NULL
67838	85.223.141.72/29	12425104	test.appdirect.com	1849389	NULL	NULL
67839	13.124.199.0/24	12425104	test.appdirect.com	1849389	NULL	NULL
67840	66.194.129.52/30	12425104	test.appdirect.com	1849389	NULL	NULL
67841	93.232.215.3/32	12425104	test.appdirect.com	1849389	NULL	NULL
67842	82.143.86.56/29	12425104	test.appdirect.com	1849389	NULL	NULL
67843	52.210.245.193/32	12425104	test.appdirect.com	1849389	NULL	NULL
67844	84.203.229.48/29	12425104	test.appdirect.com	1849389	NULL	NULL
67845	202.75.160.0/19	12425104	test.appdirect.com	1849389	NULL	NULL
67846	13.54.14.243/32	12425104	test.appdirect.com	1849389	NULL	NULL
67847	52.8.55.135/32	12425104	test.appdirect.com	1849389	NULL	NULL
67848	13.94.107.233/32	12425104	test.appdirect.com	1849389	NULL	NULL
67849	52.178.93.174/32	12425104	test.appdirect.com	1849389	NULL	NULL
67850	52.6.116.95/32	12425104	test.appdirect.com	1849389	NULL	NULL
67851	212.145.243.66/31	12425104	test.appdirect.com	1849389	NULL	NULL
67852	80.157.6.128/25	12425104	test.appdirect.com	1849389	NULL	NULL
67853	54.243.217.252/32	12425104	test.appdirect.com	1849389	NULL	NULL
67854	95.60.240.80/32	12425104	test.appdirect.com	1849389	NULL	NULL
67855	213.14.8.136/29	12425104	test.appdirect.com	1849389	NULL	NULL
67856	2.248.0.0/16	12425104	test.appdirect.com	1849389	NULL	NULL
67857	162.248.187.248/30	12425104	test.appdirect.com	1849389	NULL	NULL
67858	165.225.72.61/32	12425104	test.appdirect.com	1849389	NULL	NULL
67859	46.218.36.128/28	12425104	test.appdirect.com	1849389	NULL	NULL
67860	82.16.41.249/32	12425104	test.appdirect.com	1849389	NULL	NULL
67861	51.137.106.36/32	12425104	test.appdirect.com	1849389	NULL	NULL
67862	54.88.136.216/32	12425104	test.appdirect.com	1849389	NULL	NULL
67863	66.38.3.64/27	12425104	test.appdirect.com	1849389	NULL	NULL
67864	54.68.48.199/32	12425104	test.appdirect.com	1849389	NULL	NULL
67865	202.214.245.212/30	12425104	test.appdirect.com	1849389	NULL	NULL
67866	204.14.232.0/21	12425104	test.appdirect.com	1849389	NULL	NULL
